axis_1	axis_2	id	name	party	info
-9.943731302507755	0.3769654277950403	156	Denis Masséglia	LREM	LREM
-6.353252377982277	2.412433337057416	157	Denis Sommer	LREM	LREM
-8.200779208758942	-0.893343602391752	158	Didier Baichère	LREM	LREM
-6.451673115257452	-0.7463639905704452	159	Didier Le Gac	LREM	LREM
-13.391981814040594	1.6217047431894218	160	Didier Martin	LREM	LREM
-7.242143704631312	0.6785057176650013	161	Didier Paris	LREM	LREM
9.903677347341027	-4.2817736058494695	162	Didier Quentin	LR	LR
-10.194156904474871	2.2838461459136785	163	Dimitri Houbron	UDI	UDI
12.856840809558546	-5.313646727651507	164	Dino Cinieri	LR	LR
-8.259361903043443	-2.741854467861972	165	Dominique Da Silva	LREM	LREM
-8.055293741060755	1.3475368923009814	166	Dominique David	LREM	LREM
15.590481931200358	3.476974953351191	167	Dominique Potier	PS	PS
19.204163785884827	10.47806635435013	169	Elsa Faucillon	Divers Gauche	Divers Gauche
10.84434707290642	-6.0949590692693985	170	Emmanuel Maquet	LR	LR
14.427750366787965	-9.855803749951804	171	Emmanuelle Anthoine	LR	LR
-6.521558983127582	0.7551423200906088	172	Emmanuelle Fontaine-Domeizel	LREM	LREM
19.50096077846334	-9.618538696603684	173	Emmanuelle Ménard	Non Inscrits	Non Inscrits
13.23038159526948	3.1361396525678495	174	Ericka Bareigts	PS	PS
-12.012440096935505	2.2944673212589013	175	Erwan Balanant		
17.062411437235195	-12.168627164017629	176	Fabien Di Filippo	LR	LR
-11.004260446654182	-0.314724079097928	177	Fabien Gouttefarde	LREM	LREM
-2.2889143574598823	-0.7706150169023224	178	Fabien Lainé		
-3.5050052805212575	-0.33033865131425066	179	Fabien Matras	LREM	LREM
21.497455503861417	9.959258534262958	180	Fabien Roussel	Divers Gauche	Divers Gauche
-9.754289029901491	1.3869962140559153	181	Fabienne Colboc	LREM	LREM
14.094310480117715	-7.479841901552749	182	Fabrice Brun	LR	LR
-7.101950643198197	-0.06316637509950085	183	Fabrice Le Vigoureux	LREM	LREM
-15.578221222784677	-0.24764019004080004	184	Fadila Khattabi	LREM	LREM
-12.938116998233202	0.23361132163024084	185	Fannette Charvier	LREM	LREM
-10.378928904335257	-0.7735425193492997	186	Fiona Lazaar	LREM	LREM
-10.259994388844767	-2.004470580989475	187	Florence Granjus	LREM	LREM
0.7635227542157028	-0.6483075612184357	188	Florence Lasserre		
1.3360064041805373	6.01517243044732	189	Florence Lasserre-David	MODEM	MODEM
1.2047856584314565	-1.0552763259354883	190	Florence Morlighem	LREM	LREM
-0.8149450741349228	-1.1026688155989823	191	Florence Provendier	LREM	LREM
-5.312557862942233	0.13677471384454232	192	Florent Boudié	LREM	LREM
-9.188254627987144	0.8869077491934553	193	Florian Bachelier	LREM	LREM
0.7795252254981677	-0.9838850552597981	194	Francis Chouat	LREM	LREM
3.7181135715811093	-3.5537537772729846	195	Francis Vercamer	UDI	UDI
9.253293758267441	-1.1136302339994761	196	Franck Marlin	LR	LR
-0.5609808950481991	5.370707455126249	198	François André	LREM	LREM
-3.049237229138251	-1.0482637522476812	199	François Cormier-Bouligeon	LREM	LREM
12.576732749720948	-4.3139170841700185	200	François Cornut-Gentille	LR	LR
-6.847579983565587	0.574665028393569	201	François Jolivet	LREM	LREM
10.067115855231085	1.4138305248000187	202	François Pupponi	Libertés et Territoires	Libertés et Territoires
19.665500048074797	11.348798810524341	203	François Ruffin	FI	FI
6.1750479041305635	2.1339305719836092	205	François-Michel Lambert	Libertés et Territoires	Libertés et Territoires
-5.386627907799144	-0.8236932863689573	207	Françoise Dumas	LREM	LREM
-4.180350050383406	1.0409352680226793	208	Frédéric Barbier	LREM	LREM
-7.3744077674033806	-0.6846515490027667	209	Frédéric Descrozaille	LREM	LREM
-7.34176469615906	-0.21724275060813641	210	Frédéric Petit		
14.968292525031387	-10.431482869020751	211	Frédéric Reiss	LR	LR
2.423355332071775	2.147108892886765	212	Frédérique Dumas	Libertés et Territoires	Libertés et Territoires
-10.583491098164606	-0.25535816741569145	213	Frédérique Lardet	LREM	LREM
9.762920934590886	-3.854570436141306	214	Frédérique Meunier	LR	LR
-5.267696202613101	2.5264520979239853	215	Frédérique Tuffnell	Non Inscrits	Non Inscrits
-0.6812229594023919	8.60691934751767	216	Gabriel Attal	LREM	LREM
13.846217483333822	7.000964161692507	217	Gabriel Serville	Divers Gauche	Divers Gauche
-11.67649850210181	0.4112124663707282	218	Gaël Le Bohec	LREM	LREM
11.038366860752904	-5.301602984146109	219	Geneviève Levy	LR	LR
