axis_1	axis_2	id	name	party	state	info
-17.183323999855737	0.0097136468927723	73	Roberts	Republican	KS	KS, Republican
-19.019321833012558	0.22256335678728772	74	Romney	Republican	UT	UT, Republican
18.03493819447796	-10.801639135036474	75	Rosen	Democratic	NV	NV, Democratic
-16.38736708346021	2.800466063724826	76	Rounds	Republican	SD	SD, Republican
-18.038374604170468	0.32529211492062365	77	Rubio	Republican	FL	FL, Republican
18.883798354430212	25.951435934993818	78	Sanders	Independent	VT	VT, Independent
-20.024009069895197	2.228984787441694	79	Sasse	Republican	NE	NE, Republican
25.36056315923431	2.017603989068991	80	Schatz	Democratic	HI	HI, Democratic
27.341712350359888	3.9772816376296087	81	Schumer	Democratic	NY	NY, Democratic
-18.911632812731828	0.7478784461284471	82	Scott	Republican	FL	FL, Republican
-19.74486960519609	0.4353530878785779	83	Scott	Republican	SC	SC, Republican
15.317875093229839	-12.080712658689423	84	Shaheen	Democratic	NH	NH, Democratic
-19.312220364054813	-0.7532136382656055	85	Shelby	Republican	AL	AL, Republican
3.770428802106473	-8.764567918748766	86	Sinema	Democratic	AZ	AZ, Democratic
23.922826102001775	-4.1780844236519155	87	Smith	Democratic	MN	MN, Democratic
23.982584390942964	-1.7594502198302857	88	Stabenow	Democratic	MI	MI, Democratic
-18.405673339661302	0.15502661371563065	89	Sullivan	Republican	AK	AK, Republican
15.326874782539475	-11.232845589474325	90	Tester	Democratic	MT	MT, Democratic
-19.31253134105115	-1.1820018795336624	91	Thune	Republican	SD	SD, Republican
-17.883053920819194	0.1205212947614035	92	Tillis	Republican	NC	NC, Republican
-19.845807264104735	3.7564995859481125	93	Toomey	Republican	PA	PA, Republican
24.000783960452935	-3.8847799228737774	94	Udall	Democratic	NM	NM, Democratic
25.18721050014425	-0.847701334044207	95	Van Hollen	Democratic	MD	MD, Democratic
15.85954672501305	-11.112069222509728	96	Warner	Democratic	VA	VA, Democratic
23.98778511497028	27.677158866171393	97	Warren	Democratic	MA	MA, Democratic
17.065927353957786	-8.136195220005911	98	Whitehouse	Democratic	RI	RI, Democratic
-18.677636129661288	-1.700607832054838	99	Wicker	Republican	MS	MS, Republican
27.379510669675966	8.429299860859873	100	Wyden	Democratic	OR	OR, Democratic
-17.3735111887956	-0.8521146586456162	101	Young	Republican	IN	IN, Republican
